"filename", "language", "C++", "CMake", "JSON5", "JSON", "Python", "Markdown", "hetu", "YAML", "Dart", "XML", "comment", "blank", "total"
"e:\_dev\heavenly-tribulation\docs\docs\how2play\tycoon\readme.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 20
"e:\_dev\heavenly-tribulation\docs\docs\how2play\tycoon\site\readme.md", "Markdown", 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 138, 344
"e:\_dev\heavenly-tribulation\docs\docs\how2play\tycoon\terrain\readme.md", "Markdown", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"e:\_dev\heavenly-tribulation\docs\docs\mod\readme.md", "Markdown", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 28, 133
"e:\_dev\heavenly-tribulation\docs\docs\readme.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"e:\_dev\heavenly-tribulation\docs\docs\story\ending\readme.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"e:\_dev\heavenly-tribulation\docs\docs\story\main\readme.md", "Markdown", 0, 0, 0, 0, 0, 344, 0, 0, 0, 0, 0, 316, 660
"e:\_dev\heavenly-tribulation\docs\docs\story\pivotal\readme.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12, 24
"e:\_dev\heavenly-tribulation\docs\docs\story\readme.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\_dev\heavenly-tribulation\docs\docs\story\world_setting\readme.md", "Markdown", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 25, 50
"e:\_dev\heavenly-tribulation\docs\package.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"e:\_dev\heavenly-tribulation\docs\wiki.json5", "JSON5", 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 1, 1, 204
"e:\_dev\heavenly-tribulation\icons_launcher.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"e:\_dev\heavenly-tribulation\lib\app.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 661, 0, 27, 111, 799
"e:\_dev\heavenly-tribulation\lib\data\common.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 1809, 0, 96, 142, 2047
"e:\_dev\heavenly-tribulation\lib\data\constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 1, 5, 178
"e:\_dev\heavenly-tribulation\lib\data\game.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 1817, 0, 117, 234, 2168
